1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,7.0
8,2.0
9,0.0
10,8.0
11,0.0
12,3.0
13,7.0
14,3.0
15,3.0
16,5.0
17,10.0
18,8.0
19,0.0
20,6.0
21,2.0
22,0.0
23,0.0
24,7.0
25,0.0
26,0.0
27,5.0
28,0.0
29,0.0
30,0.0
31,7.0
32,0.0
33,8.0
34,0.0
35,0.0
36,7.0
37,0.0
38,2.0
39,7.0
40,0.0
41,6.0
42,6.0
43,10.0
44,0.0
45,0.0
46,0.0
47,0.0
48,9.0
49,0.0
50,4.0
51,0.0
52,1.0
53,0.0
54,17.0
55,12.0
56,6.0
57,10.0
58,2.0
59,5.0
60,8.0
61,0.0
62,1.0
63,4.0
64,1.0
65,2.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.0
73,0.0
74,0.0
75,10.0
76,0.0
77,0.0
78,0.0
79,10.0
80,1.0
81,5.0
82,0.0
83,0.0
84,0.0
85,0.0
86,12.0
87,15.0
88,3.0
89,3.0
90,8.0
91,1.0
92,5.0
93,0.0
94,0.0
95,6.0
96,2.0
97,0.0
98,5.0
99,12.0
100,3.0
101,3.0
102,3.0
